id,source,website,building_type,building,address,vacancy_rate,household_size,Pct_Single_Family,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,Pct_Military,percent_of_building_type,lot_size_square_feet,floors,total_far,residential_efficiency,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,average_parking_space_square_feet,surface_parking_spaces,above_ground_structured_parking_spaces,below_ground_structured_parking_spaces,building_footprint_square_feet,surface_parking_square_feet,hardscape_other_square_feet,irrigated_softscape_square_feet,nonirrigated_softscape_square_feet,irrigated_percent,id
83,0,,Standard Podium Multi-Family,Low-Rise Residential (MODA Lofts-2),"Denver, CO",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,4,2,0.85,940,0.85,500,0.85,350,0.85,1000,330,0,127,0,21780,0,20473.2,1176.12,130.68,0.9,1283
87,0,,Suburban Multifamily Apt/Condo,Multifamily Apt/Condo (Lenzen Square),"San Jose, CA",0.06,1.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,3,1,0.85,590,0.85,500,0.85,350,0.85,1000,330,0,109,0,14520,0,11616,15681.6,1742.4,0.9,1387
88,0,,Suburban Multifamily Apt/Condo,Multifamily Apt/Condo (Linden Court),"Oakland, CA",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,3,1,0.85,710,0.85,500,0.85,350,0.85,1000,330,0,98,0,14520,0,20328,7840.8,871.2,0.9,1388
89,0,,Suburban Multifamily Apt/Condo,Multi-Family Apt/Condo (Sonoma Villero),"Bothell, WA",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,3,1,0.85,1231,0.85,475,0.85,350,0.85,1001,330,34,14,0,14520,11220,3687.79,12718.989,1413.221,0.9,1389
90,0,,Suburban Multifamily Apt/Condo,Multi-Family Apt/Condo (Town Lofts),"Stapleton Denver, CO",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,3,1.33,0.85,1300,0.85,475,0.85,350,0.85,1000,330,54,23,0,19311.6,17820,1452,4976.4,0,1,1390
91,0,,Suburban Multifamily Apt/Condo,Multifamily Apt/Condo (Mabuhay Court),"San Jose, CA",0.06,1.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,3,1.8,0.85,620,0.85,475,0.85,350,0.85,1000,330,1,112,0,26136,330,6234,10860,0,1,1391
93,0,,Urban Townhome/Live-Work,Townhome/Live-Work (Small Townhouse),"Alameda, CA",0.04,2.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1452,2,0.82,1,1191,0.85,750,0.85,350,0.85,1000,330,0,2,0,595.32,0,57.9,718.902,79.878,0.9,1493
95,0,,Urban Townhome/Live-Work,Townhome/Live-Work (Denver Brownstone),"Stapleton Denver, CO",0.04,2.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2897,4,1.18,1,3410,0.85,750,0.85,350,0.85,1000,330,0,3,0,854.62,0,306.3,1562.4765,173.6085,0.9,1495
96,0,,Urban Townhome/Live-Work,Townhome/Live-Work (Pearl Townhome),"Portland, OR",0.04,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1742,2,1.1,1,1874,0.85,750,0.85,350,0.85,1000,330,0,1,0,958.1,0,86.92,627.282,69.698,0.9,1496
97,0,,Urban Townhome/Live-Work,Townhome/Live-Work (Penthouse Row Homes),"Stapleton Denver, CO",0.04,2.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2219,3,0.94,1,1965,0.85,750,0.85,350,0.85,1000,330,0,4,0,695.29,0,1192.64,297.966,33.10733333,0.9,1497
